REGION TYPE,REGION,SEASON_DESCRIPTION,TOTAL SPECIMENS,A (2009 H1N1),A (H3),A (Subtyping not Performed),B,BVic,BYam,H3N2v
States,Alabama,Season 2023-24 ,202,25,6,5,0,13,0,0
States,Alaska,Season 2023-24 ,45,6,1,3,3,0,0,0
States,Arizona,Season 2023-24 ,2484,481,92,9,3,151,0,0
States,Arkansas,Season 2023-24 ,1339,45,191,200,6,36,0,0
States,California,Season 2023-24 ,5092,1333,371,124,83,170,0,0
States,Colorado,Season 2023-24 ,835,288,179,8,12,251,0,0
States,Connecticut,Season 2023-24 ,2469,523,289,80,3,72,0,0
States,Delaware,Season 2023-24 ,1602,296,138,69,21,146,0,0
States,District of Columbia,Season 2023-24 ,1316,368,251,28,3,148,0,0
States,Florida,Season 2023-24 ,1874,639,252,25,11,348,0,0
States,Georgia,Season 2023-24 ,2620,417,217,498,5,279,0,0
States,Hawaii,Season 2023-24 ,1352,286,126,14,4,85,0,0
States,Idaho,Season 2023-24 ,725,321,54,13,3,179,0,0
States,Illinois,Season 2023-24 ,3425,174,84,142,39,88,0,0
States,Indiana,Season 2023-24 ,295,45,57,3,1,50,0,0
States,Iowa,Season 2023-24 ,637,189,162,13,8,214,0,0
States,Kansas,Season 2023-24 ,295,11,11,8,3,15,0,0
States,Kentucky,Season 2023-24 ,888,232,154,0,1,160,0,0
States,Louisiana,Season 2023-24 ,2383,184,13,12,17,140,0,0
States,Maine,Season 2023-24 ,716,504,83,3,1,81,0,0
States,Maryland,Season 2023-24 ,611,14,15,58,161,10,0,0
States,Massachusetts,Season 2023-24 ,797,341,177,4,5,1,0,0
States,Michigan,Season 2023-24 ,1470,456,216,3,10,157,0,0
States,Minnesota,Season 2023-24 ,2638,886,405,378,46,411,0,0
States,Mississippi,Season 2023-24 ,189,3,0,50,4,15,0,0
States,Missouri,Season 2023-24 ,734,228,87,20,1,36,0,0
States,Montana,Season 2023-24 ,514,158,127,1,1,141,0,0
States,Nebraska,Season 2023-24 ,505,59,17,22,21,92,0,0
States,Nevada,Season 2023-24 ,8146,299,100,1479,493,123,0,0
States,New Hampshire,Season 2023-24 ,1430,488,115,147,14,26,0,0
States,New Jersey,Season 2023-24 ,524,143,56,12,24,3,0,0
States,New Mexico,Season 2023-24 ,2002,428,122,12,4,230,0,0
States,New York,Season 2023-24 ,8303,520,167,273,48,65,0,0
States,North Carolina,Season 2023-24 ,394,137,20,5,0,29,0,0
States,North Dakota,Season 2023-24 ,568,198,73,7,4,154,0,0
States,Ohio,Season 2023-24 ,855,424,223,1,3,150,0,0
States,Oklahoma,Season 2023-24 ,230,7,8,1,0,6,0,0
States,Oregon,Season 2023-24 ,4034,212,61,27,7,92,0,0
States,Pennsylvania,Season 2023-24 ,16424,467,143,47,11,125,0,0
States,Rhode Island,Season 2023-24 ,3203,176,43,248,31,77,0,0
States,South Carolina,Season 2023-24 ,865,268,28,23,17,246,0,0
States,South Dakota,Season 2023-24 ,560,128,115,30,11,209,0,0
States,Tennessee,Season 2023-24 ,445,51,52,5,3,65,0,0
States,Texas,Season 2023-24 ,2280,296,124,6,6,284,0,0
States,Utah,Season 2023-24 ,1024,343,140,0,1,215,0,0
States,Vermont,Season 2023-24 ,377,179,98,12,1,27,0,0
States,Virginia,Season 2023-24 ,995,149,64,6,1,45,0,0
States,Washington,Season 2023-24 ,1302,263,46,30,8,29,0,0
States,West Virginia,Season 2023-24 ,837,302,178,9,14,209,0,0
States,Wisconsin,Season 2023-24 ,2246,418,235,28,8,153,0,0
States,Wyoming,Season 2023-24 ,576,38,7,39,19,23,0,0
States,American Samoa,Season 2023-24 ,X,X,X,X,X,X,X,X
States,Puerto Rico,Season 2023-24 ,382,181,22,3,0,52,0,0
States,Virgin Islands,Season 2023-24 ,X,X,X,X,X,X,X,X
States,New York City,Season 2023-24 ,X,X,X,X,X,X,X,X
